artsid;artsnavn;DanskNavn;LatinskNavn
11215;Husrødstjert, Tien-Shan (ssp. phoenicuroides);;
11620;Stendrossel;;
11399;Sibirisk Bynkefugl;;
11397;Sibirisk Bynkefugl, Kaukasusbynkefugl (ssp. hemprichii);;
11396;Sibirisk Bynkefugl, Steppebynkefugl (ssp. variegatus);;
11392;Sibirisk Bynkefugl, Bjergbynkefugl (ssp. stejnegeri);;
11394;Sibirisk Bynkefugl (ssp. maurus);;
11490;Ørkenstenpikker;;
11480;Vestlig Middelhavsstenpikker/Østlig Middelhavsstenpikker;;
11481;Vestlig Middelhavsstenpikker;;
11470;Nonnestenpikker;;
11482;Østlig Middelhavsstenpikker;;
11440;Isabellastenpikker;;
11570;Hvidkronet Stenpikker;;
10940;Alpejernspurv;;
10900;Sortstrubet Jernspurv;;
10860;Sibirisk Jernspurv;;
16110;Snefinke;;
15920;Spansk Spurv;;
10174;Gul Vipstjert, Sorthovedet (ssp. feldegg);;
26643;Sibirisk Vipstjert;;
10040;Mongolsk Piber;;
10080;Tajgapiber;;
17040;Langhalet Rosenfinke;;
16990;Krognæb;;
16760;Ørkendompap;;
16632;Gråsisken, Grønlandsk (ssp. rostrata);;
18710;Gulbrynet Værling;;
18760;Gulbrystet Værling;;
18730;Pileværling;;
18810;Hætteværling;;
18809;Brunhovedet Værling/Hætteværling;;
18800;Brunhovedet Værling;;
18600;Klippeværling;;
18670;Bjerghortulan;;
18650;Gulgrå Værling;;
18580;Gærdeværling;;
18560;Hvidkindet Værling;;
18420;Mørkøjet Junco;;
18400;Hvidstrubet Spurv;;
18390;Hvidkronet Spurv;;
17530;Stribet Sanger;;
17330;Gul Sanger;;
18870;Rosenbrystet Kernebider;;
18920;Indigofinke;;
99999;Ny fugleart for landet;;
